J,T,sigma_s
2098951.613,373.15,38.22138495
2111774.194,373.15,38.38051408
2123951.613,373.15,38.52021233
2134959.677,373.15,38.64632198
2149193.548,373.15,38.7678298
2162540.323,373.15,38.91293988
2174919.355,373.15,39.03557484
2186370.968,373.15,39.15481804
2198911.29,373.15,39.31850023
2210524.194,373.15,39.41708327
2223185.484,373.15,39.55507502
2237500,373.15,39.71226304
2249959.677,373.15,39.83265518
2262741.935,373.15,39.937044
2275040.323,373.15,40.09568759
2285887.097,373.15,40.17712792
2297862.903,373.15,40.33611609
2311411.29,373.15,40.45591212
2323548.387,373.15,40.5869359
2339112.903,373.15,40.79635984
2350322.581,373.15,40.8487679
2363790.323,373.15,41.03845626
2376491.935,373.15,41.12727865
2389354.839,373.15,41.26105759
2402620.968,373.15,41.40842731
2414919.355,373.15,41.52266503
2427741.935,373.15,41.63689366
2439637.097,373.15,41.77451068
2453064.516,373.15,41.89665131
2462419.355,373.15,41.99232382
2474879.032,373.15,42.113947
2488951.613,373.15,42.26275922
2503387.097,373.15,42.41859534
2516209.677,373.15,42.56633334
2528790.323,373.15,42.65326533
2539354.839,373.15,42.75138881
2552419.355,373.15,42.87148957
2566693.548,373.15,43.04184267
2580000,373.15,43.14757179
2593145.161,373.15,43.28465841
2604838.71,373.15,43.38228955
2617943.548,373.15,43.4916578
2630806.452,373.15,43.64705373
2643185.484,373.15,43.78231358
2656572.581,373.15,43.91658716
2668548.387,373.15,44.00062262
2680846.774,373.15,44.11861911
2694596.774,373.15,44.27630286
2708629.032,373.15,44.3872123
2719395.161,373.15,44.47982933
2732862.903,373.15,44.61529951
2746330.645,373.15,44.73713508
2761330.645,373.15,44.89825393
2772096.774,373.15,45.00526588
2784556.452,373.15,45.1309768
2798951.613,373.15,45.25136753
2809274.194,373.15,45.32803925
2822620.968,373.15,45.45372652
2838024.194,373.15,45.61532569
2847983.871,373.15,45.69959769
2863145.161,373.15,45.85183088
2875362.903,373.15,45.96168632
2886612.903,373.15,46.05255448
2902258.065,373.15,46.18748759
2913185.484,373.15,46.31352848
2926895.161,373.15,46.41772427
2939032.258,373.15,46.55807986
2953669.355,373.15,46.68648618
2965524.194,373.15,46.76987052
2978588.71,373.15,46.89431
2991895.161,373.15,47.03251901
3006088.71,373.15,47.14002318
3018669.355,373.15,47.27320263
3032419.355,373.15,47.39638549
3046330.645,373.15,47.51867573
3058266.129,373.15,47.61227406
3070483.871,373.15,47.74407979
3083145.161,373.15,47.84836193
3095201.613,373.15,47.95166043
3110362.903,373.15,48.10921599
3121975.806,373.15,48.18245583
3134838.71,373.15,48.29570781
3149596.774,373.15,48.45002469
3163225.806,373.15,48.5803303
3174153.226,373.15,48.64733809
3188467.742,373.15,48.77702565
3202096.774,373.15,48.90458845
3214314.516,373.15,49.00393871
-2379.032258,423.15,-4.243218854
-1169.354839,423.15,-1.088452569
-282.2580645,423.15,-2.274823214
-241.9354839,423.15,-0.153311208
-40.32258065,423.15,-0.007909473
564.516129,423.15,0.274591236
604.8387097,423.15,0.233003935
604.8387097,423.15,0.196259567
846.7741935,423.15,0.237074599
967.7419355,423.15,0.238258633
1048.387097,423.15,0.189044835
1209.677419,423.15,0.172425297
1854.83871,423.15,0.403974031
1854.83871,423.15,0.248123023
1895.16129,423.15,0.315047981
1895.16129,423.15,0.290692595
3951.612903,423.15,0.497252605
5846.774194,423.15,0.696014629
7500,423.15,0.845938031
7983.870968,423.15,0.855192212
8669.354839,423.15,0.887928797
10201.6129,423.15,0.998871313
12419.35484,423.15,1.166298826
17459.67742,423.15,1.574489208
19919.35484,423.15,1.732959227
22822.58065,423.15,1.917927983
25927.41935,423.15,2.108480446
28266.12903,423.15,2.222865582
31693.54839,423.15,2.423959277
35524.19355,423.15,2.640803036
40080.64516,423.15,2.90129044
43387.09677,423.15,3.04859406
49596.77419,423.15,3.399811028
54193.54839,423.15,3.633052426
58870.96774,423.15,3.85092244
63991.93548,423.15,4.103082867
68951.6129,423.15,4.332037082
76008.06452,423.15,4.6645899
81008.06452,423.15,4.867895052
86854.83871,423.15,5.121262608
93508.06452,423.15,5.418310991
99798.3871,423.15,5.658138391
107782.2581,423.15,6.019409102
112379.0323,423.15,6.164342224
119112.9032,423.15,6.42720571
125282.2581,423.15,6.65655629
133024.1935,423.15,6.960713826
140000,423.15,7.201366018
147419.3548,423.15,7.484478729
154959.6774,423.15,7.754744982
162379.0323,423.15,7.99877683
169798.3871,423.15,8.260925207
176814.5161,423.15,8.494801995
185685.4839,423.15,8.771182068
192258.0645,423.15,8.97475029
200766.129,423.15,9.253719455
208024.1935,423.15,9.48250309
215685.4839,423.15,9.693929869
223427.4194,423.15,9.954276427
231814.5161,423.15,10.18292646
239435.4839,423.15,10.40893374
245927.4194,423.15,10.58432327
255927.4194,423.15,10.86636355
264516.129,423.15,11.13384005
273508.0645,423.15,11.38604911
280887.0968,423.15,11.56520155
289556.4516,423.15,11.80570064
300806.4516,423.15,12.14806323
307379.0323,423.15,12.27461977
314637.0968,423.15,12.45406714
324919.3548,423.15,12.7414755
334395.1613,423.15,12.97600817
341693.5484,423.15,13.15611709
351209.6774,423.15,13.39086813
360241.9355,423.15,13.62745126
369072.5806,423.15,13.82162625
378709.6774,423.15,14.07223153
386774.1935,423.15,14.2586506
396250,423.15,14.46858277
407943.5484,423.15,14.77432829
415403.2258,423.15,14.91811531
423387.0968,423.15,15.09545711
436209.6774,423.15,15.42809401
445806.4516,423.15,15.66044596
453427.4194,423.15,15.77857915
461733.871,423.15,15.95345119
472620.9677,423.15,16.20812016
482983.871,423.15,16.42656292
492459.6774,423.15,16.65292839
501572.5806,423.15,16.83615215
510564.5161,423.15,17.0069794
520201.6129,423.15,17.20005662
529274.1935,423.15,17.38994955
540725.8065,423.15,17.64400809
551733.871,423.15,17.86046987
561814.5161,423.15,18.06563772
571774.1935,423.15,18.29342357
580161.2903,423.15,18.43457212
590524.1935,423.15,18.64000861
601169.3548,423.15,18.85164894
612379.0323,423.15,19.07227222
622137.0968,423.15,19.27696244
631330.6452,423.15,19.42852984
640524.1935,423.15,19.58163679
652338.7097,423.15,19.83567747
663266.129,423.15,20.06002234
673064.5161,423.15,20.21619654
682540.3226,423.15,20.40316159
693588.7097,423.15,20.60231139
703145.1613,423.15,20.77060428
713870.9677,423.15,20.9666715
725887.0968,423.15,21.20584254
733991.9355,423.15,21.29843223
746129.0323,423.15,21.545213
755403.2258,423.15,21.66947243
768104.8387,423.15,21.93539278
777096.7742,423.15,22.07149071
787540.3226,423.15,22.25366493
798266.129,423.15,22.42557763
809637.0968,423.15,22.63386605
820282.2581,423.15,22.8236174
829395.1613,423.15,22.9612545
842983.871,423.15,23.23184817
851129.0323,423.15,23.32153211
863024.1935,423.15,23.53739857
872540.3226,423.15,23.66441122
884758.0645,423.15,23.8878531
896895.1613,423.15,24.07992823
905040.3226,423.15,24.20003612
917782.2581,423.15,24.41771838
930040.3226,423.15,24.62945932
939032.2581,423.15,24.76300203
948951.6129,423.15,24.90686931
961612.9032,423.15,25.1136508
971209.6774,423.15,25.25393491
982298.3871,423.15,25.40690913
995362.9032,423.15,25.64642147
1004233.871,423.15,25.76775648
1015645.161,423.15,25.9349191
1028225.806,423.15,26.13705422
1039314.516,423.15,26.30199441
1049193.548,423.15,26.43877346
1059717.742,423.15,26.57869547
1072258.065,423.15,26.78406606
1085443.548,423.15,27.00394821
1096129.032,423.15,27.17445778
1106774.194,423.15,27.3076946
1116451.613,423.15,27.43458486
1128346.774,423.15,27.61244169
1141411.29,423.15,27.8121344
1152056.452,423.15,27.95502906
1164879.032,423.15,28.1239495
1174112.903,423.15,28.27084107
1184959.677,423.15,28.42731611
1196169.355,423.15,28.56135255
1208467.742,423.15,28.7461777
1220524.194,423.15,28.91698138
1231411.29,423.15,29.07919272
1241814.516,423.15,29.20686238
1254314.516,423.15,29.37752525
1267096.774,423.15,29.57685958
1276975.806,423.15,29.68603411
1287983.871,423.15,29.84694131
1298508.065,423.15,29.96925223
1312661.29,423.15,30.19413899
1325645.161,423.15,30.37516413
1335241.935,423.15,30.49213709
1345040.323,423.15,30.60180984
1356693.548,423.15,30.73496377
1369717.742,423.15,30.93306739
1382379.032,423.15,31.10348939
1392701.613,423.15,31.22256878
1403104.839,423.15,31.39028979
1414959.677,423.15,31.51261906
1428709.677,423.15,31.70998593
1441693.548,423.15,31.88326749
1452459.677,423.15,32.02717272
1464153.226,423.15,32.14134446
1474838.71,423.15,32.28590002
1485645.161,423.15,32.4181647
1497661.29,423.15,32.56763525
1511411.29,423.15,32.76962107
1522741.935,423.15,32.90198699
1532862.903,423.15,33.03846071
1547096.774,423.15,33.20781975
1559677.419,423.15,33.38007642
1568467.742,423.15,33.45540886
1580887.097,423.15,33.60525386
1593548.387,423.15,33.75353309
1606250,423.15,33.92596258
1619717.742,423.15,34.08212154
1628427.419,423.15,34.17079714
1639838.71,423.15,34.29453276
1653306.452,423.15,34.48227812
1666330.645,423.15,34.64383789
1677379.032,423.15,34.75006686
1688024.194,423.15,34.8946844
1702580.645,423.15,35.06806572
1714112.903,423.15,35.18185073
1724435.484,423.15,35.30885185
1736854.839,423.15,35.44808943
1749193.548,423.15,35.63842283
1760927.419,423.15,35.74733181
1774959.677,423.15,35.94312411
1787459.677,423.15,36.05715759
1797782.258,423.15,36.16827364
1808588.71,423.15,36.28277959
1820887.097,423.15,36.42679033
1834637.097,423.15,36.6182416
1846330.645,423.15,36.72210906
1857419.355,423.15,36.85989244
1869354.839,423.15,36.9715412
1881572.581,423.15,37.1041504
1895000,423.15,37.28494373
1908427.419,423.15,37.45316209
1919314.516,423.15,37.5540994
1932016.129,423.15,37.68138483
1943951.613,423.15,37.80750457
1955927.419,423.15,37.9513719
1969032.258,423.15,38.11665652
1980766.129,423.15,38.21603208
1993870.968,423.15,38.3664782
2005604.839,423.15,38.47624012
2017701.613,423.15,38.61747383
2028629.032,423.15,38.72364503
2040645.161,423.15,38.85612524
2052500,423.15,38.97892816
2064596.774,423.15,39.11905593
2077419.355,423.15,39.2546066
2091048.387,423.15,39.38993884
2102177.419,423.15,39.48290033
2115201.613,423.15,39.68551858
2129274.194,423.15,39.81504562
2140604.839,423.15,39.90988304
2152661.29,423.15,40.05653318
2165645.161,423.15,40.18570059
2176975.806,423.15,40.27277887
2191169.355,423.15,40.45749747
2203830.645,423.15,40.59050873
2215645.161,423.15,40.72508524
2228629.032,423.15,40.83736321
2240201.613,423.15,40.96478002
2250887.097,423.15,41.05282327
2263387.097,423.15,41.18278738
2275766.129,423.15,41.31591429
2288145.161,423.15,41.44694866
2301733.871,423.15,41.56495507
2314314.516,423.15,41.69991255
2327580.645,423.15,41.85125886
2339516.129,423.15,41.96125284
2351693.548,423.15,42.06454438
2363064.516,423.15,42.19637491
2375161.29,423.15,42.29260043
2390887.097,423.15,42.50027641
2403064.516,423.15,42.61025605
2412620.968,423.15,42.66673845
2427620.968,423.15,42.84729811
2440524.194,423.15,42.98673768
2451048.387,423.15,43.07874051
2463346.774,423.15,43.17155287
2477338.71,423.15,43.30590216
2491088.71,423.15,43.47168047
2503427.419,423.15,43.58770636
2516532.258,423.15,43.7166781
2527258.065,423.15,43.78814713
2539354.839,423.15,43.92117714
2554516.129,423.15,44.09512975
2565362.903,423.15,44.1490289
2578306.452,423.15,44.27701267
2590685.484,423.15,44.40378777
2603951.613,423.15,44.53172729
2617016.129,423.15,44.66323581
2630120.968,423.15,44.76745219
2641975.806,423.15,44.88162865
2653790.323,423.15,44.99314313
2665927.419,423.15,45.13571156
2681048.387,423.15,45.28150482
2693991.935,423.15,45.39402755
2705967.742,423.15,45.4910802
2717056.452,423.15,45.56650454
2730282.258,423.15,45.71754697
2744879.032,423.15,45.83463253
2756774.194,423.15,45.96827232
2767258.065,423.15,46.03633831
2780967.742,423.15,46.18285305
2795120.968,423.15,46.3101984
2808306.452,423.15,46.42842393
2821088.71,423.15,46.53786692
2832701.613,423.15,46.64729675
2844233.871,423.15,46.76114895
2857782.258,423.15,46.85739763
2869959.677,423.15,46.97189321
2884637.097,423.15,47.13813914
2896733.871,423.15,47.22575931
2909274.194,423.15,47.32336205
2922459.677,423.15,47.47582665
2937419.355,423.15,47.59374533
2949475.806,423.15,47.67737215
2961451.613,423.15,47.79474704
2972983.871,423.15,47.89678805
2988266.129,423.15,48.05032053
3001048.387,423.15,48.16878377
3013306.452,423.15,48.26438912
3024475.806,423.15,48.34814028
3039354.839,423.15,48.49000558
3050040.323,423.15,48.59457981
3064072.581,423.15,48.70789919
3077822.581,423.15,48.8177184
3089596.774,423.15,48.91548018
3102701.613,423.15,49.04815817
3116290.323,423.15,49.15558847
3129193.548,423.15,49.27488006
3141975.806,423.15,49.35924827
3156209.677,423.15,49.49731493
3166451.613,423.15,49.57154181
3180403.226,423.15,49.70895483
3194274.194,423.15,49.83842389
3207338.71,423.15,49.91583202
3218266.129,423.15,50.01200261
3232500,423.15,50.1645885
3246008.065,423.15,50.27730084
-1814.516129,398.15,-0.44577135
-1612.903226,398.15,-0.52701469
-1532.258065,398.15,-0.277159736
-1491.935484,398.15,-1.404282673
-1330.645161,398.15,-0.63534297
-1048.387097,398.15,-12.14903221
80.64516129,398.15,0.017654457
161.2903226,398.15,0.102735648
161.2903226,398.15,0.04520526
241.9354839,398.15,0.047795086
403.2258065,398.15,0.050593667
483.8709677,398.15,0.812048843
846.7741935,398.15,0.120764812
1088.709677,398.15,0.166273736
1088.709677,398.15,0.145283429
1290.322581,398.15,0.213077881
1330.645161,398.15,0.515029902
3145.16129,398.15,0.37119289
5483.870968,398.15,0.615303659
6250,398.15,0.665584122
7782.258065,398.15,0.788330746
8991.935484,398.15,0.87287807
9112.903226,398.15,0.848387045
11088.70968,398.15,0.990338211
15766.12903,398.15,1.357793539
19032.25806,398.15,1.580140093
20645.16129,398.15,1.658750457
25362.90323,398.15,1.973015902
26975.80645,398.15,2.035842576
31532.25806,398.15,2.311213501
35887.09677,398.15,2.563008832
38064.51613,398.15,2.635439069
42137.09677,398.15,2.854393649
48709.67742,398.15,3.21381403
52379.03226,398.15,3.381186429
56209.67742,398.15,3.546744906
62943.54839,398.15,3.887718602
67137.09677,398.15,4.056823032
73024.19355,398.15,4.320055766
80927.41935,398.15,4.693263432
83346.77419,398.15,4.739749557
91250,398.15,5.106203048
94919.35484,398.15,5.212658981
102983.871,398.15,5.554346408
109153.2258,398.15,5.800653086
114919.3548,398.15,6.001704416
123266.129,398.15,6.333211705
127056.4516,398.15,6.418813014
136774.1935,398.15,6.799388713
140806.4516,398.15,6.919735807
150443.5484,398.15,7.260849084
155241.9355,398.15,7.402878207
164879.0323,398.15,7.750339426
169717.7419,398.15,7.872455245
177903.2258,398.15,8.146449151
186250,398.15,8.413215008
194516.129,398.15,8.701051266
200524.1935,398.15,8.84387617
207338.7097,398.15,9.048607612
217903.2258,398.15,9.38877113
225282.2581,398.15,9.58531649
230846.7742,398.15,9.729167129
240564.5161,398.15,10.01827593
249475.8065,398.15,10.28084986
256532.2581,398.15,10.46639378
263669.3548,398.15,10.64123009
273991.9355,398.15,10.95214399
281612.9032,398.15,11.1410466
290322.5806,398.15,11.38403024
297540.3226,398.15,11.53946064
307983.871,398.15,11.84204108
316209.6774,398.15,12.04912987
323387.0968,398.15,12.19806217
333467.7419,398.15,12.45187501
342862.9032,398.15,12.70432381
350967.7419,398.15,12.89392565
361129.0323,398.15,13.14689466
369435.4839,398.15,13.32622438
379193.5484,398.15,13.57865537
389112.9032,398.15,13.80375045
396008.0645,398.15,13.94149467
404758.0645,398.15,14.1610247
416169.3548,398.15,14.44965154
425927.4194,398.15,14.63235341
431774.1935,398.15,14.75496942
443709.6774,398.15,15.03406384
453387.0968,398.15,15.23841223
461532.2581,398.15,15.41491673
471854.8387,398.15,15.63689757
481532.2581,398.15,15.81645409
489233.871,398.15,15.97088407
502903.2258,398.15,16.31053576
508911.2903,398.15,16.38301634
520725.8065,398.15,16.65574628
530524.1935,398.15,16.85526168
540000,398.15,17.05157412
549395.1613,398.15,17.21055118
558991.9355,398.15,17.41120056
571814.5161,398.15,17.70010543
579112.9032,398.15,17.82781822
589153.2258,398.15,18.00873875
600766.129,398.15,18.23398929
610564.5161,398.15,18.4366723
618669.3548,398.15,18.54825889
629072.5806,398.15,18.76727088
640604.8387,398.15,18.98626802
650927.4194,398.15,19.16999394
660282.2581,398.15,19.3444446
670604.8387,398.15,19.54203419
682822.5806,398.15,19.7561142
692822.5806,398.15,19.94205068
703750,398.15,20.16664651
713830.6452,398.15,20.32090097
723104.8387,398.15,20.46756556
732379.0323,398.15,20.64627024
742701.6129,398.15,20.80990637
754959.6774,398.15,21.03867469
765685.4839,398.15,21.22578324
776733.871,398.15,21.41634702
786733.871,398.15,21.57831487
795524.1935,398.15,21.69236543
807056.4516,398.15,21.91910576
817540.3226,398.15,22.10116066
830322.5806,398.15,22.32335049
841814.5161,398.15,22.50959658
851209.6774,398.15,22.67752072
861250,398.15,22.82268314
870685.4839,398.15,22.93816799
882943.5484,398.15,23.17041921
894717.7419,398.15,23.35151022
906048.3871,398.15,23.55083874
915564.5161,398.15,23.67184951
927177.4194,398.15,23.85200276
936370.9677,398.15,24.02952292
947701.6129,398.15,24.18818893
958588.7097,398.15,24.35977591
968387.0968,398.15,24.49842341
980725.8065,398.15,24.68160593
991693.5484,398.15,24.86318978
1003266.129,398.15,25.04610619
1014717.742,398.15,25.20689637
1027459.677,398.15,25.40953514
1037258.065,398.15,25.56633738
1048266.129,398.15,25.71412713
1057741.935,398.15,25.84175829
1068064.516,398.15,25.99291183
1082580.645,398.15,26.2224239
1094032.258,398.15,26.41739563
1103266.129,398.15,26.50760537
1114475.806,398.15,26.6674616
1125322.581,398.15,26.84929473
1137217.742,398.15,27.01921505
1147862.903,398.15,27.16177087
1160564.516,398.15,27.34943638
1171532.258,398.15,27.50101338
1183588.71,398.15,27.67060648
1196008.065,398.15,27.84992994
1208306.452,398.15,28.02370729
1218629.032,398.15,28.16310907
1230645.161,398.15,28.34867256
1241048.387,398.15,28.46172508
1252580.645,398.15,28.62198567
1264919.355,398.15,28.79173067
1277096.774,398.15,28.98539323
1287540.323,398.15,29.11598247
1300000,398.15,29.27163706
1309758.065,398.15,29.38729338
1321411.29,398.15,29.53429436
1332943.548,398.15,29.7118481
1343991.935,398.15,29.85901582
1355483.871,398.15,29.99386397
1368024.194,398.15,30.16689583
1379596.774,398.15,30.31995537
1390564.516,398.15,30.4612981
1401895.161,398.15,30.60169533
1415040.323,398.15,30.77690409
1427096.774,398.15,30.92303052
1437338.71,398.15,31.04598121
1449959.677,398.15,31.25077694
1462298.387,398.15,31.36357523
1472580.645,398.15,31.50362336
1485846.774,398.15,31.69096811
1496491.935,398.15,31.81553767
1508629.032,398.15,31.96172765
1520282.258,398.15,32.10066035
1532379.032,398.15,32.26437911
1544314.516,398.15,32.40062614
1557419.355,398.15,32.57692861
1569596.774,398.15,32.73674786
1580766.129,398.15,32.87175381
1590725.806,398.15,32.96287858
1602661.29,398.15,33.11232227
1614112.903,398.15,33.24671761
1626733.871,398.15,33.40041355
1638870.968,398.15,33.54039514
1651895.161,398.15,33.7032383
1662459.677,398.15,33.83798158
1675282.258,398.15,33.97973374
1687661.29,398.15,34.12662219
1700806.452,398.15,34.27991966
1713185.484,398.15,34.44851197
1725322.581,398.15,34.5961469
1736451.613,398.15,34.72260964
1748669.355,398.15,34.85222427
1761653.226,398.15,35.02140627
1773790.323,398.15,35.15464632
1786411.29,398.15,35.30230765
1797943.548,398.15,35.42326314
1809717.742,398.15,35.57904307
1820967.742,398.15,35.67338342
1832701.613,398.15,35.81715144
1844758.065,398.15,35.93575661
1857822.581,398.15,36.11122906
1869959.677,398.15,36.23263018
1882137.097,398.15,36.38638497
1893790.323,398.15,36.50529246
1905040.323,398.15,36.61005194
1918306.452,398.15,36.78279732
1930725.806,398.15,36.89605244
1943870.968,398.15,37.04509068
1956854.839,398.15,37.18738707
1969475.806,398.15,37.35733072
1980443.548,398.15,37.45530046
1993266.129,398.15,37.60506291
2004556.452,398.15,37.72210895
2016532.258,398.15,37.85582942
2027580.645,398.15,37.96424274
2042177.419,398.15,38.12198249
2055161.29,398.15,38.26837378
2066370.968,398.15,38.38785587
2077741.935,398.15,38.51837365
2090322.581,398.15,38.63951556
2101935.484,398.15,38.74621284
2115927.419,398.15,38.9094029
2128830.645,398.15,39.04874672
2141129.032,398.15,39.1819421
2152903.226,398.15,39.31919352
2164637.097,398.15,39.44365487
2175887.097,398.15,39.51698787
2188387.097,398.15,39.66009464
2200887.097,398.15,39.81555942
2213024.194,398.15,39.90187548
2225766.129,398.15,40.08072192
2239395.161,398.15,40.18707299
2251733.871,398.15,40.32127541
2265927.419,398.15,40.46672627
2277862.903,398.15,40.58518104
2289959.677,398.15,40.72191045
2300846.774,398.15,40.83494745
2314717.742,398.15,40.95457278
2325806.452,398.15,41.09485898
2338830.645,398.15,41.21258922
2351088.71,398.15,41.31170565
2364354.839,398.15,41.45718912
2379516.129,398.15,41.642894
2391612.903,398.15,41.73728136
2403306.452,398.15,41.84443135
2414838.71,398.15,41.96283131
2428024.194,398.15,42.09225826
2439556.452,398.15,42.19506309
2452379.032,398.15,42.34769721
2466975.806,398.15,42.47074586
2478870.968,398.15,42.6016995
2490040.323,398.15,42.67567047
2502217.742,398.15,42.82082905
2514838.71,398.15,42.94827625
2528346.774,398.15,43.06848102
2541935.484,398.15,43.2158928
2555564.516,398.15,43.33254421
2567298.387,398.15,43.46612402
2579717.742,398.15,43.55801498
2591814.516,398.15,43.68068798
2604314.516,398.15,43.78914544
2618548.387,398.15,43.91622897
2632096.774,398.15,44.07382027
2643024.194,398.15,44.14964901
2656451.613,398.15,44.29829206
2668588.71,398.15,44.42763958
2679919.355,398.15,44.5281896
2696088.71,398.15,44.69180102
2706653.226,398.15,44.73859675
2720604.839,398.15,44.90382304
2733951.613,398.15,45.03769168
2744556.452,398.15,45.09277356
2759314.516,398.15,45.26692558
2769677.419,398.15,45.33496915
2785241.935,398.15,45.49320027
2798427.419,398.15,45.63082786
2808911.29,398.15,45.71005383
2820846.774,398.15,45.80540192
2835806.452,398.15,45.95890945
2848669.355,398.15,46.07597757
2860846.774,398.15,46.19628887
2873225.806,398.15,46.28367979
2885725.806,398.15,46.40990666
2900403.226,398.15,46.54423995
2911572.581,398.15,46.64797131
2925080.645,398.15,46.74739303
2938911.29,398.15,46.90986015
2949153.226,398.15,46.98250144
2962983.871,398.15,47.10069482
2976290.323,398.15,47.20995298
2989717.742,398.15,47.32517421
3000927.419,398.15,47.44189372
3016935.484,398.15,47.58099682
3028145.161,398.15,47.70748362
3041895.161,398.15,47.81251669
3052983.871,398.15,47.88077537
3067459.677,398.15,48.00545484
3081129.032,398.15,48.14541198
3091451.613,398.15,48.22599889
3105604.839,398.15,48.36979663
3119838.71,398.15,48.49631
3129758.065,398.15,48.57859829
3144959.677,398.15,48.72399552
3160161.29,398.15,48.86583164
3169959.677,398.15,48.91504232
3182983.871,398.15,49.02195246
3197419.355,398.15,49.171611
3209435.484,398.15,49.27559736
3222016.129,398.15,49.3713675
-2862.903226,348.15,-0.470810098
-2540.322581,348.15,-2.363723838
-2298.387097,348.15,-0.500231783
-1653.225806,348.15,-2.867876335
-1653.225806,348.15,-0.796173816
-1653.225806,348.15,-0.296997515
-1612.903226,348.15,-0.319358186
-1330.645161,348.15,-0.851682129
-1330.645161,348.15,-0.513688632
-1250,348.15,-0.346226782
-1008.064516,348.15,-9.484758164
-685.483871,348.15,-0.090622218
-524.1935484,348.15,-0.128474184
-282.2580645,348.15,-0.091759039
0,348.15,0
40.32258065,348.15,0.005030269
282.2580645,348.15,0.040048416
967.7419355,348.15,0.0969125
1250,348.15,0.131142043
1451.612903,348.15,0.169114832
1532.258065,348.15,0.146409416
2096.774194,348.15,0.231907819
3225.806452,348.15,0.295644592
4475.806452,348.15,0.39169565
6330.645161,348.15,0.534221496
8185.483871,348.15,0.66528607
9112.903226,348.15,0.714768592
14072.58065,348.15,1.067555883
15685.48387,348.15,1.154056936
18225.80645,348.15,1.300645697
20725.80645,348.15,1.436479979
23064.51613,348.15,1.553842572
26129.03226,348.15,1.714202468
29758.06452,348.15,1.902244587
33508.06452,348.15,2.089994724
36491.93548,348.15,2.219465039
41008.06452,348.15,2.441173476
46129.03226,348.15,2.68393821
49959.67742,348.15,2.853209021
57137.09677,348.15,3.191306349
61653.22581,348.15,3.377015884
66491.93548,348.15,3.571885289
69516.12903,348.15,3.668297877
75443.54839,348.15,3.918971893
82661.29032,348.15,4.205647924
89153.22581,348.15,4.471296708
94193.54839,348.15,4.642913201
102862.9032,348.15,4.997428614
106814.5161,348.15,5.11268512
111169.3548,348.15,5.240169946
120241.9355,348.15,5.591011292
127983.871,348.15,5.860570668
131975.8065,348.15,5.959619534
140040.3226,348.15,6.233227116
145887.0968,348.15,6.412307953
151733.871,348.15,6.581253449
160967.7419,348.15,6.896978443
168911.2903,348.15,7.138307728
174233.871,348.15,7.284889688
184838.7097,348.15,7.632857667
189233.871,348.15,7.731103402
198346.7742,348.15,8.015824552
204919.3548,348.15,8.197246927
211774.1935,348.15,8.373620469
222338.7097,348.15,8.686573278
228830.6452,348.15,8.864644198
238266.129,348.15,9.143259627
244274.1935,348.15,9.270534448
254556.4516,348.15,9.560215282
262096.7742,348.15,9.748980847
269596.7742,348.15,9.937795565
279637.0968,348.15,10.21258639
286733.871,348.15,10.37701822
296411.2903,348.15,10.64813843
304637.0968,348.15,10.83400425
312741.9355,348.15,11.02044731
322943.5484,348.15,11.30063292
332419.3548,348.15,11.51801561
338064.5161,348.15,11.63844017
348911.2903,348.15,11.89597569
357661.2903,348.15,12.10206421
368790.3226,348.15,12.39022323
375161.2903,348.15,12.49586404
386451.6129,348.15,12.78469641
394516.129,348.15,12.95729613
405000,348.15,13.19541771
414072.5806,348.15,13.3917698
422903.2258,348.15,13.578329
433548.3871,348.15,13.81762774
440604.8387,348.15,13.9544552
453830.6452,348.15,14.27643887
461370.9677,348.15,14.40583579
472379.0323,348.15,14.66579044
481733.871,348.15,14.85138626
490241.9355,348.15,15.02492477
500685.4839,348.15,15.24729907
511088.7097,348.15,15.45067288
519233.871,348.15,15.60927197
531653.2258,348.15,15.87547251
541330.6452,348.15,16.06596154
549032.2581,348.15,16.1879544
561370.9677,348.15,16.47377703
571572.5806,348.15,16.66694591
580322.5806,348.15,16.83982082
591653.2258,348.15,17.04750318
602258.0645,348.15,17.2808521
611975.8065,348.15,17.4399509
622137.0968,348.15,17.63646785
633588.7097,348.15,17.85340495
642862.9032,348.15,18.01352184
653709.6774,348.15,18.21184342
665483.871,348.15,18.46337593
672459.6774,348.15,18.5539386
686290.3226,348.15,18.83052781
697338.7097,348.15,19.04021105
705483.871,348.15,19.17896937
717580.6452,348.15,19.39572161
730241.9355,348.15,19.62947198
738145.1613,348.15,19.75282801
749556.4516,348.15,19.95948951
761491.9355,348.15,20.17916509
771088.7097,348.15,20.33898758
783104.8387,348.15,20.55367123
793669.3548,348.15,20.73460567
802983.871,348.15,20.868154
813790.3226,348.15,21.05870979
827137.0968,348.15,21.29045236
837822.5806,348.15,21.47979567
846733.871,348.15,21.62316368
858024.1935,348.15,21.80632937
870604.8387,348.15,22.02281134
881935.4839,348.15,22.2403316
893346.7742,348.15,22.4100976
902379.0323,348.15,22.55437254
915040.3226,348.15,22.76701016
928064.5161,348.15,22.98791118
939475.8065,348.15,23.19197907
948709.6774,348.15,23.28804062
958427.4194,348.15,23.4510132
969395.1613,348.15,23.63210379
981653.2258,348.15,23.82605522
994112.9032,348.15,24.03715982
1006330.645,348.15,24.21980236
1018951.613,348.15,24.43038466
1028185.484,348.15,24.55322273
1039435.484,348.15,24.71513861
1051250,348.15,24.90563695
